Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TA","Animaux vivants","2","Afghanistan","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","3415","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","202","Afrique du Sud","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","8287","","Donnée officielle"
"TA","Animaux vivants","3","Albanie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","5821","","Donnée officielle"
"TA","Animaux vivants","4","Algérie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","22905","","Donnée officielle"
"TA","Animaux vivants","79","Allemagne","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","173124","","Donnée officielle"
"TA","Animaux vivants","7","Angola","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","688","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","8","Antigua-et-Barbuda","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","36","","Donnée officielle"
"TA","Animaux vivants","151","Antilles néerlandaises (ex)","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","123","F","Estimation FAO"
"TA","Animaux vivants","194","Arabie saoudite","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","26985","","Donnée officielle"
"TA","Animaux vivants","9","Argentine","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","10923","","Donnée officielle"
"TA","Animaux vivants","1","Arménie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","4397","","Donnée officielle"
"TA","Animaux vivants","22","Aruba","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","109","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","11","Autriche","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","27464","","Donnée officielle"
"TA","Animaux vivants","52","Azerbaïdjan","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","5109","","Donnée officielle"
"TA","Animaux vivants","12","Bahamas","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","821","","Donnée officielle"
"TA","Animaux vivants","13","Bahreïn","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","173","","Donnée officielle"
"TA","Animaux vivants","16","Bangladesh","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","10232","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","14","Barbade","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","57","Bélarus","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","18650","","Donnée officielle"
"TA","Animaux vivants","255","Belgique","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","334425","","Donnée officielle"
"TA","Animaux vivants","15","Belgique-Luxembourg","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","23","Belize","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","403","","Donnée officielle"
"TA","Animaux vivants","53","Bénin","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","82","","Donnée officielle"
"TA","Animaux vivants","17","Bermudes","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1","","Donnée officielle"
"TA","Animaux vivants","18","Bhoutan","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","90","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","19","Bolivie (État plurinational de)","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","6314","","Donnée officielle"
"TA","Animaux vivants","80","Bosnie-Herzégovine","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1840","","Donnée officielle"
"TA","Animaux vivants","20","Botswana","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","2934","","Donnée officielle"
"TA","Animaux vivants","21","Brésil","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","2071","","Donnée officielle"
"TA","Animaux vivants","26","Brunéi Darussalam","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","893","","Donnée officielle"
"TA","Animaux vivants","27","Bulgarie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","6093","","Donnée officielle"
"TA","Animaux vivants","233","Burkina Faso","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","759","","Donnée officielle"
"TA","Animaux vivants","29","Burundi","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","251","","Donnée officielle"
"TA","Animaux vivants","35","Cabo Verde","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","253","","Donnée officielle"
"TA","Animaux vivants","115","Cambodge","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","502","","Donnée officielle"
"TA","Animaux vivants","32","Cameroun","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","3660","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","33","Canada","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","38152","","Donnée officielle"
"TA","Animaux vivants","40","Chili","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","4013","","Donnée officielle"
"TA","Animaux vivants","351","Chine","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","76306","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TA","Animaux vivants","50","Chypre","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","715","","Donnée officielle"
"TA","Animaux vivants","44","Colombie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","8926","","Donnée officielle"
"TA","Animaux vivants","45","Comores","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","15","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","46","Congo","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","47","","Donnée officielle"
"TA","Animaux vivants","48","Costa Rica","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","3864","","Donnée officielle"
"TA","Animaux vivants","107","Côte d'Ivoire","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1595","","Donnée officielle"
"TA","Animaux vivants","98","Croatie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","2962","","Donnée officielle"
"TA","Animaux vivants","49","Cuba","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","54","Danemark","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","16446","","Donnée officielle"
"TA","Animaux vivants","72","Djibouti","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","","M","Donnée non disponible"
"TA","Animaux vivants","55","Dominique","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","140","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","59","Égypte","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","421","","Donnée officielle"
"TA","Animaux vivants","60","El Salvador","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","4519","","Donnée officielle"
"TA","Animaux vivants","225","Émirats arabes unis","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","3037","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","58","Équateur","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","11476","","Donnée officielle"
"TA","Animaux vivants","178","Érythrée","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","203","Espagne","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","41540","","Donnée officielle"
"TA","Animaux vivants","63","Estonie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","591","","Donnée officielle"
"TA","Animaux vivants","209","Eswatini","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1847","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","231","États-Unis d'Amérique","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","11616","","Donnée officielle"
"TA","Animaux vivants","238","Éthiopie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","106","","Donnée officielle"
"TA","Animaux vivants","62","Éthiopie RDP","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","","M","Donnée non disponible"
"TA","Animaux vivants","185","Fédération de Russie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","52283","","Donnée officielle"
"TA","Animaux vivants","66","Fidji","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","11","","Donnée officielle"
"TA","Animaux vivants","67","Finlande","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1426","","Donnée officielle"
"TA","Animaux vivants","68","France","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","23124","","Donnée officielle"
"TA","Animaux vivants","74","Gabon","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","717","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","75","Gambie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","26","","Donnée officielle"
"TA","Animaux vivants","73","Géorgie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","2147","","Donnée officielle"
"TA","Animaux vivants","81","Ghana","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","8886","","Donnée officielle"
"TA","Animaux vivants","84","Grèce","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","5986","","Donnée officielle"
"TA","Animaux vivants","86","Grenade","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","366","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","88","Guam","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","89","Guatemala","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","14331","","Donnée officielle"
"TA","Animaux vivants","90","Guinée","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1233","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","175","Guinée-Bissau","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","8","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","91","Guyana","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","36","","Donnée officielle"
"TA","Animaux vivants","93","Haïti","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","5975","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","95","Honduras","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","3801","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","97","Hongrie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","24739","","Donnée officielle"
"TA","Animaux vivants","36","Îles Caïmanes","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","47","Îles Cook","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","8","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","64","Îles Féroé","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","100","Inde","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","3268","","Donnée officielle"
"TA","Animaux vivants","101","Indonésie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","16","","Donnée officielle"
"TA","Animaux vivants","102","Iran (République islamique d')","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","10550","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","103","Iraq","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1670","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","104","Irlande","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","8548","","Donnée officielle"
"TA","Animaux vivants","99","Islande","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","105","Israël","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","5005","","Donnée officielle"
"TA","Animaux vivants","106","Italie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","14305","","Donnée officielle"
"TA","Animaux vivants","109","Jamaïque","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","10","","Donnée officielle"
"TA","Animaux vivants","110","Japon","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","8581","","Donnée officielle"
"TA","Animaux vivants","112","Jordanie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","4497","","Donnée officielle"
"TA","Animaux vivants","108","Kazakhstan","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","7923","","Donnée officielle"
"TA","Animaux vivants","114","Kenya","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","847","","Donnée officielle"
"TA","Animaux vivants","113","Kirghizistan","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","305","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","83","Kiribati","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","","M","Donnée non disponible"
"TA","Animaux vivants","118","Koweït","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","5050","","Donnée officielle"
"TA","Animaux vivants","122","Lesotho","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","3452","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","119","Lettonie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1849","","Donnée officielle"
"TA","Animaux vivants","121","Liban","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","3310","","Donnée officielle"
"TA","Animaux vivants","123","Libéria","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","124","Libye","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1182","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","126","Lituanie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","4843","","Donnée officielle"
"TA","Animaux vivants","256","Luxembourg","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","850","","Donnée officielle"
"TA","Animaux vivants","154","Macédoine du Nord","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","779","","Donnée officielle"
"TA","Animaux vivants","129","Madagascar","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","49","","Donnée officielle"
"TA","Animaux vivants","131","Malaisie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","10267","","Donnée officielle"
"TA","Animaux vivants","130","Malawi","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","758","","Donnée officielle"
"TA","Animaux vivants","132","Maldives","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","14","","Donnée officielle"
"TA","Animaux vivants","133","Mali","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1842","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","134","Malte","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","95","","Donnée officielle"
"TA","Animaux vivants","143","Maroc","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","14203","","Donnée officielle"
"TA","Animaux vivants","137","Maurice","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","755","","Donnée officielle"
"TA","Animaux vivants","136","Mauritanie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","2","","Donnée officielle"
"TA","Animaux vivants","138","Mexique","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","25806","","Donnée officielle"
"TA","Animaux vivants","141","Mongolie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","237","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","273","Monténégro","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1014","","Donnée officielle"
"TA","Animaux vivants","144","Mozambique","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","3329","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","28","Myanmar","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","900","F","Estimation FAO"
"TA","Animaux vivants","147","Namibie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","2168","","Donnée officielle"
"TA","Animaux vivants","149","Népal","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","2723","","Donnée officielle"
"TA","Animaux vivants","157","Nicaragua","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","3791","","Donnée officielle"
"TA","Animaux vivants","158","Niger","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","83","","Donnée officielle"
"TA","Animaux vivants","159","Nigéria","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","112","F","Estimation FAO"
"TA","Animaux vivants","160","Nioué","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","","M","Donnée non disponible"
"TA","Animaux vivants","162","Norvège","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","433","","Donnée officielle"
"TA","Animaux vivants","153","Nouvelle-Calédonie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","37","","Donnée officielle"
"TA","Animaux vivants","156","Nouvelle-Zélande","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","221","Oman","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1790","","Donnée officielle"
"TA","Animaux vivants","226","Ouganda","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1719","","Donnée officielle"
"TA","Animaux vivants","235","Ouzbékistan","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","5131","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","165","Pakistan","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","9496","","Donnée officielle"
"TA","Animaux vivants","299","Palestine","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","119","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","166","Panama","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","4205","","Donnée officielle"
"TA","Animaux vivants","168","Papouasie-Nouvelle-Guinée","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1446","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","169","Paraguay","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","10342","","Donnée officielle"
"TA","Animaux vivants","150","Pays-Bas","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","614024","","Donnée officielle"
"TA","Animaux vivants","170","Pérou","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","13524","","Donnée officielle"
"TA","Animaux vivants","171","Philippines","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","6436","","Donnée officielle"
"TA","Animaux vivants","173","Pologne","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","83107","","Donnée officielle"
"TA","Animaux vivants","70","Polynésie française","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","509","","Donnée officielle"
"TA","Animaux vivants","174","Portugal","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","28027","","Donnée officielle"
"TA","Animaux vivants","179","Qatar","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","266","","Donnée officielle"
"TA","Animaux vivants","212","République arabe syrienne","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","5628","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","37","République centrafricaine","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","*","Chiffre non officiel"
"TA","Animaux vivants","117","République de Corée","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","7434","","Donnée officielle"
"TA","Animaux vivants","146","République de Moldova","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","2357","","Donnée officielle"
"TA","Animaux vivants","250","République démocratique du Congo","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1216","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","120","République démocratique populaire lao","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","797","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","56","République dominicaine","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","2474","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","215","République-Unie de Tanzanie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1633","","Donnée officielle"
"TA","Animaux vivants","183","Roumanie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","49244","","Donnée officielle"
"TA","Animaux vivants","229","Royaume-Uni","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","15009","","Donnée officielle"
"TA","Animaux vivants","184","Rwanda","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","529","","Donnée officielle"
"TA","Animaux vivants","189","Sainte-Lucie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","53","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","188","Saint-Kitts-et-Nevis","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","25","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","190","Saint-Pierre-et-Miquelon","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","11","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","191","Saint-Vincent-et-les Grenadines","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","24","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","244","Samoa","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","140","","Donnée officielle"
"TA","Animaux vivants","5","Samoa américaines","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","193","Sao Tomé-et-Principe","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","43","","Donnée officielle"
"TA","Animaux vivants","195","Sénégal","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","580","","Donnée officielle"
"TA","Animaux vivants","272","Serbie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","7452","","Donnée officielle"
"TA","Animaux vivants","186","Serbie-et-Monténégro","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","F","Estimation FAO"
"TA","Animaux vivants","196","Seychelles","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","22","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","197","Sierra Leone","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","103","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","200","Singapour","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","167340","","Donnée officielle"
"TA","Animaux vivants","199","Slovaquie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","32241","","Donnée officielle"
"TA","Animaux vivants","198","Slovénie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","4718","","Donnée officielle"
"TA","Animaux vivants","201","Somalie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","7","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","276","Soudan","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","2748","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","206","Soudan (ex)","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","0","*","Chiffre non officiel"
"TA","Animaux vivants","277","Soudan du Sud","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","3","F","Estimation FAO"
"TA","Animaux vivants","38","Sri Lanka","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","2993","","Donnée officielle"
"TA","Animaux vivants","210","Suède","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","4353","","Donnée officielle"
"TA","Animaux vivants","211","Suisse","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","2291","","Donnée officielle"
"TA","Animaux vivants","207","Suriname","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","260","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","208","Tadjikistan","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","767","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","51","Tchécoslovaq","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","","M","Donnée non disponible"
"TA","Animaux vivants","167","Tchéquie (la)","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","31275","","Donnée officielle"
"TA","Animaux vivants","164","Territoire des Îles du Pacifique","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","","M","Donnée non disponible"
"TA","Animaux vivants","216","Thaïlande","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","22555","","Donnée officielle"
"TA","Animaux vivants","217","Togo","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","27","","Donnée officielle"
"TA","Animaux vivants","219","Tonga","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","23","","Donnée officielle"
"TA","Animaux vivants","220","Trinité-et-Tobago","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","958","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","222","Tunisie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","5192","","Donnée officielle"
"TA","Animaux vivants","223","Turquie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","18165","","Donnée officielle"
"TA","Animaux vivants","230","Ukraine","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","64663","","Donnée officielle"
"TA","Animaux vivants","234","Uruguay","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","2134","","Donnée officielle"
"TA","Animaux vivants","155","Vanuatu","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","88","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","236","Venezuela (République bolivarienne du)","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","6707","","Donnée officielle"
"TA","Animaux vivants","237","Viet Nam","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","6934","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","249","Yémen","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","5872","","Donnée officielle"
"TA","Animaux vivants","248","Yougosla Rfs","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","","M","Donnée non disponible"
"TA","Animaux vivants","251","Zambie","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","2834","","Donnée officielle"
"TA","Animaux vivants","181","Zimbabwe","5622","Importations - Valeur","1057","Poulets","2013","2013","1000 US$","1580","","Donnée officielle"
